id,oid,freigabe,status,name,country,destination
13777,159399,0,INACTIVE,(no name),,
13525,178526,0,INACTIVE,(no name),,
4726,177507,0,INACTIVE,(no name),,
5314,215320,0,INACTIVE,(no name),,
12993,128710,0,INACTIVE,(no name),- bitte wählen,
13273,130982,0,INACTIVE,(no name),Costa Rica,
5944,112417,0,INACTIVE,124 on Brunswick,Neuseeland,Rotorua
11145,133073,0,INACTIVE,20° Sud,Mauritius,Mauritius
6805,124897,0,INACTIVE,Absolute Riverside B&B,Neuseeland,Turangi
6084,113795,0,INACTIVE,Accent House B&B,Neuseeland,Abel Tasman Nationalpark
806,17,0,INACTIVE,Adina Apartment Hotel Adelaide Treasury,Australien,Adelaide
701,59621,0,INACTIVE,Adina Serviced Apartments Martin Place,Australien,Sydney
13357,121218,0,INACTIVE,AfroChic,Kenia,Mombasa
9402,53144,0,INACTIVE,Aga Reef Resort,Samoa,Upolu
9843,11893,0,INACTIVE,Aggie Grey’s Lagoon Beach Resort & Spa,Samoa,Upolu
6098,211730,0,INACTIVE,Ah House Bed & Breakfast,Neuseeland,Nelson
1345,102341,0,INACTIVE,Ahmedia Heritage Guest House,Vereinigte Arabische Emirate,Dubai
120,73040,0,INACTIVE,Airlie Beach Hotel,Australien,Airlie Beach
9752,19261,0,INACTIVE,Airways Hotel  Pankaj Pandey  Executive Assistant Manager,Papua-Neuguinea,
7806,143083,0,INACTIVE,Aité Eco Hotel,Kolumbien,Palomino
5741,89799,0,INACTIVE,Akaroa Cottages,Neuseeland,Akaroa
5979,34984,0,INACTIVE,Albatross Motel,Neuseeland,Napier
2346,102606,0,INACTIVE,Alex Hotel Perth,Australien,Perth
2535,101668,0,INACTIVE,Alexander Lakeside B&B,Australien,Hervey Bay
1450,9989,0,INACTIVE,All Seasons Eco Resort Phillip Island,Australien,
1394,52809,0,INACTIVE,Alto Hotel On Bourke,Australien,
11439,14625,0,INACTIVE,Amanjaya Pancam Hotel,Kambodscha,Phnom Penh
11698,83102,0,INACTIVE,Amata Resort & Spa,Myanmar,Ngapali Beach
10228,117465,0,INACTIVE,Ambre Resort & Spa,Mauritius,Mauritius
9080,19224,0,INACTIVE,Ambua Lodge,Papua-Neuguinea,
7057,96895,0,INACTIVE,Amora Hotel,Neuseeland,Auckland
11922,43624,0,INACTIVE,Angkor Palace Resort & Spa,Kambodscha,Siem Reap
11432,82482,0,INACTIVE,Ansara Hotel,Laos,Vientiane
10256,180503,0,INACTIVE,Anse La Mouche Holiday Apartments,Seychellen,Mahe
10739,165421,0,INACTIVE,Anse Soleil Beachcomber,Seychellen,Mahe
6637,30374,0,INACTIVE,Aoraki Lodge B&B,Neuseeland,Twizel
12167,93072,0,INACTIVE,Aqua Aloha Surf Waikiki,USA,
13175,175753,0,INACTIVE,Aqui Hoy,Panama,
7820,75024,0,INACTIVE,Aranwa Sacred Valley Hotel,Peru,Heiliges Tal
7183,104306,0,INACTIVE,Araras Lodge,Brasilien,Cuiaba
4397,3566,0,INACTIVE,Arathusa Safari Lodge,Südafrika,Sabi Sand Game Reserve
85,42217,0,INACTIVE,Arkaba Station,Australien,Wilpena Pound
673,26792,0,INACTIVE,Arts Hotel Sydney,Australien,
13462,167027,0,INACTIVE,Arusha Coffee Lodge,Tansania,Arusha
12083,92536,0,INACTIVE,Aston Waikiki Beach Hotel,USA,
11985,93104,0,INACTIVE,Aston Waikiki Sunset Apartments,USA,
3732,180084,0,INACTIVE,Auberge Burgundy,Südafrika,Hermanus
