id,name_en-GB,name_de-DE,name_ch-DE,name_nl-NL,location_tour32,country_id,state_id,region_id,cid_primarix,id_primarix
1,Honolulu,Honolulu,Honolulu,Honolulu,896,61,,134,51,121451
2,Kailua-Kona,Kailua-Kona,Kailua-Kona,Kailua-Kona,,61,,129,51,121383
3,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,278,3,,,51,3795
4,El Calafate,El Calafate,El Calafate,El Calafate,604,3,,3,51,3812
5,El Chalten,El Chalten,El Chalten,El Chalten,605,3,,,,
6,"La Merced Chica, Salta","La Merced Chica, Salta","La Merced Chica, Salta","La Merced Chica, Salta",,3,,2,,
7,"Maipu, Mendoza","Maipu, Mendoza","Maipu, Mendoza","Maipu, Mendoza",,3,,4,,
8,Puerto Iguazu,Puerto Iguazu,Puerto Iguazu,Puerto Iguazu,1968,3,,,,
9,"Puerto Madero, Buenos Aires","Puerto Madero, Buenos Aires","Puerto Madero, Buenos Aires","Puerto Madero, Buenos Aires",,3,,,,
10,Salta,Salta,Salta,Salta,2120,3,,2,51,6224
11,Ushuaia,Ushuaia,Ushuaia,Ushuaia,2513,3,,1,51,3807
12,"Ushuaia, Tierra del Fuego","Ushuaia, Tierra del Fuego","Ushuaia, Tierra del Fuego","Ushuaia, Tierra del Fuego",,3,,,,
13,Eagle Beach,Eagle Beach,Eagle Beach,Eagle Beach,,4,,,,
14,Adelaide,Adelaide,Adelaide,Adelaide,14,6,5,20,51,3333
15,Agnes Water,Agnes Water,Agnes Water,Agnes Water,17,6,4,19,,
16,Airlie Beach,Airlie Beach,Airlie Beach,Airlie Beach,23,6,4,10,51,3346
17,Albany,Albany,Albany,Albany,38,6,8,24,51,121851
18,Alice Springs,Alice Springs,Alice Springs,Alice Springs,44,6,3,16,51,3336
19,Apollo Bay,Apollo Bay,Apollo Bay,Apollo Bay,79,6,7,11,51,115328
20,Arkaroola Village,Arkaroola Village,Arkaroola Village,Arkaroola Village,,6,5,7,,
21,Atherton,Atherton,Atherton,Atherton,,6,4,26,,
22,Atherton Tablelands,Atherton Tablelands,Atherton Tablelands,Atherton Tablelands,106,6,4,26,,
23,Ayers Rock Resort (Yulara),Ayers Rock Resort (Yulara),Ayers Rock Resort (Yulara),Ayers Rock Resort (Yulara),,6,3,16,,
24,"Barossa Valley, Lyndoch","Barossa Valley, Lyndoch","Barossa Valley, Lyndoch","Barossa Valley, Lyndoch",,6,5,20,,
