id,name_en-GB,name_de-DE,name_ch-DE,name_nl-NL,location_tour32,country_id,state_id,region_id,cid_primarix,id_primarix
1,Honolulu,Honolulu,Honolulu,Honolulu,896,221,,134,51,121451
2,Kailua-Kona,Kailua-Kona,Kailua-Kona,Kailua-Kona,,221,,129,51,121383
3,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,278,10,,,51,3795
4,El Calafate,El Calafate,El Calafate,El Calafate,604,10,,3,51,3812
5,El Chalten,El Chalten,El Chalten,El Chalten,605,10,,,,
6,"La Merced Chica, Salta","La Merced Chica, Salta","La Merced Chica, Salta","La Merced Chica, Salta",,10,,2,,
7,"Maipu, Mendoza","Maipu, Mendoza","Maipu, Mendoza","Maipu, Mendoza",,10,,4,,
8,Puerto Iguazu,Puerto Iguazu,Puerto Iguazu,Puerto Iguazu,1968,10,,,,
9,"Puerto Madero, Buenos Aires","Puerto Madero, Buenos Aires","Puerto Madero, Buenos Aires","Puerto Madero, Buenos Aires",,10,,,,
10,Salta,Salta,Salta,Salta,2120,10,,2,51,6224
11,Ushuaia,Ushuaia,Ushuaia,Ushuaia,2513,10,,1,51,3807
12,"Ushuaia, Tierra del Fuego","Ushuaia, Tierra del Fuego","Ushuaia, Tierra del Fuego","Ushuaia, Tierra del Fuego",,10,,,,
13,Eagle Beach,Eagle Beach,Eagle Beach,Eagle Beach,,12,,,,
14,Adelaide,Adelaide,Adelaide,Adelaide,14,13,5,20,51,3333
15,Agnes Water,Agnes Water,Agnes Water,Agnes Water,17,13,4,19,,
16,Airlie Beach,Airlie Beach,Airlie Beach,Airlie Beach,23,13,4,10,51,3346
17,Albany,Albany,Albany,Albany,38,13,8,24,51,121851
18,Alice Springs,Alice Springs,Alice Springs,Alice Springs,44,13,3,16,51,3336
19,Apollo Bay,Apollo Bay,Apollo Bay,Apollo Bay,79,13,7,11,51,115328
20,Arkaroola Village,Arkaroola Village,Arkaroola Village,Arkaroola Village,,13,5,7,,
21,Atherton,Atherton,Atherton,Atherton,,13,4,26,,
22,Atherton Tablelands,Atherton Tablelands,Atherton Tablelands,Atherton Tablelands,106,13,4,26,,
23,Ayers Rock Resort (Yulara),Ayers Rock Resort (Yulara),Ayers Rock Resort (Yulara),Ayers Rock Resort (Yulara),,13,3,16,,
