id,name_en-GB,name_de-DE,name_ch-DE,name_nl-NL,country_id,cid_primarix,id_primarix
1,Tierra del Fuego,Feuerland,Feuerland,Vuurland,10,50,121759
2,Northwest,Nordwesten,Nordwesten,Noordwesten,10,50,121754
3,Patagonia,Patagonien,Patagonien,Patagonië,10;43,50,121751
4,Wine Region,Weinregion,Weinregion,Wijnregio,10,50,121756
5,Canberra,Canberra,Canberra,Canberra,13,50,3203
6,Cradle Mountain Lake St. Clair National Park,Cradle Mountain Lake St. Clair Nationalpark,Cradle Mountain Lake St. Clair Nationalpark,Cradle Mountain Lake St. Clair Nationaal Park,13,50,3180
7,Flinders Ranges,Flinders Ranges,Flinders Ranges,Flinders Ranges,13,50,3121
8,Freycinet National Park,Freycinet Nationalpark,Freycinet Nationalpark,Freycinet Nationaal Park,13,50,3181
9,Grampians,Grampians,Grampians,Grampians,13,50,3118
10,Great Barrier Reef Islands,Great Barrier Reef Inseln,Great Barrier Reef Inseln,Great Barrier Reef Eilanden,13,50,3161
11,Great Ocean Road,Great Ocean Road,Great Ocean Road,Great Ocean Road,13,50,3119
12,Kangaroo Island,Kangaroo Island,Kangaroo Island,Kangaroo Island,13,50,3122
13,Kimberley,Kimberleys,Kimberleys,Kimberley,13,50,3126
14,Lord Howe Island,Lord Howe Island,Lord Howe Island,Lord Howe Island,13,50,3206
15,Outback QLD,Outback QLD,Outback QLD,Outback QLD,13,50,3134
16,Red Centre,Rotes Zentrum,Rotes Zentrum,Rode Centrum,13,50,3128
17,Other NSW,Sonstiges NSW,Sonstiges NSW,Overig NSW,13,50,3205
18,Other NT,Sonstiges NT,Sonstiges NT,Overig NT,13,50,3130
19,Other QLD,Sonstiges QLD,Sonstiges QLD,Overig QLD,13,50,3131
20,Other SA,Sonstiges SA,Sonstiges SA,Overig SA,13,50,3123
21,Other TAS,Sonstiges TAS,Sonstiges TAS,Overig TAS,13,50,3132
22,Other VIC,Sonstiges VIC,Sonstiges VIC,Overig VIC,13,50,3120
23,Other WA,Sonstiges WA,Sonstiges WA,Overig WA,13,50,3127
24,Southwest,Südwesten,Südwesten,Zuidwesten,13,50,3124
25,Top End,Top End,Top End,Top End,13,50,3129
26,Tropical QLD,Tropisches QLD,Tropisches QLD,Tropisch QLD,13,50,3133
27,West Coast (Australia),Westküste (Australien),Westküste (Australien),Westkust (Australië),13,50,3125
28,Inland,Inland,Inland,Binnenland,22,50,122063
29,Caribbean Coast (Belize),Karibikküste (Belize),Karibikküste (Belize),Caribische Kust (Belize),22,50,122064
30,Andean Highlands,Andenhochland,Andenhochland,Andeshooglanden,26,50,121768
31,La Paz,La Paz,La Paz,La Paz,26,50,121767
32,Chobe River,Chobe Fluss,Chobe Fluss,Chobe Rivier,28,50,3168
33,Kalahari (Botswana),Kalahari (Botswana),Kalahari (Botswana),Kalahari (Botswana),28,50,3172
34,Khwai,Khwai,Khwai,Khwai,28,50,82179
35,Linyanti,Linyanti,Linyanti,Linyanti,28,50,3169
36,Makgadikgadi Pans,Makgadikgadi Pans,Makgadikgadi Pans,Makgadikgadi Pannen,28,50,3171
37,Moremi Game Reserve,Moremi Wildreservat,Moremi Wildreservat,Moremi Wildreservaat,28,50,3174
38,Okavango Delta,Okavango Delta,Okavango Delta,Okavango Delta,28,50,3183
39,Savuti,Savuti,Savuti,Savuti,28,50,3170
40,Other Botswana,Sonstiges Botswana,Sonstiges Botswana,Overig Botswana,28,50,101918
41,Iguazu,Iguacu,Iguacu,Iguazu,30,50,121783
