id,name_de,status
1,100 Mile House/BC,active
2,70 Mile House/BC,active
3,Aarhus,active
4,Abaco/BS,active
5,Abashiri,active
6,Abel Tasman Nationalpark,active
7,Aberdare Nationalpark,active
8,Abu Dhabi,active
9,Accra,active
10,Achalziche,active
11,Adams/MA,active
12,Addis Abeba,active
13,Addo Elephant NP,active
14,Adelaide,active
15,Adishi,active
16,Agatha Forest Game Reserve,active
17,Agnes Water,active
18,Agra,active
19,Aguas Calientes,active
20,Ahe,active
21,Ahipara,active
22,Aireys Inlet,active
23,Airlie Beach,active
24,Ait Ben Haddou,active
25,Aitutaki,active
26,Ajman,active
27,Akan,active
28,Akanin’ny Nofy,active
29,Akaroa,active
30,Akureyri,active
31,Al Ain,active
32,Al Kharijah,active
33,Al Najada Doha,active
34,Alagan Wüste,active
35,Alajuela,active
36,Alamosa/CO,active
37,Alamosa/NM,active
38,Albany,active
39,Albany/NY,active
40,Albertinia,active
41,Albuquerque/NM,active
42,Albury,active
43,Algonquin Park/ON,active
44,Alice Springs,active
45,Alishan,active
46,Alleppey,active
47,Alma/NB,active
48,Almuñecar,active
49,Alphonse Island,active
50,Alpujarra,active
51,Alta,active
52,Alta Floresta,active
53,Altai,active
54,Alto Jahuel,active
55,Amakhala Game Reserve,active
56,Amarillo/TX,active
57,Amboseli Nationalpark,active
58,Ambrym,active
59,Amed,active
60,Amelia Island/FL,active
61,Amsterdam,active
62,Anaerangal Lake,active
63,Anaheim/CA,active
64,Anaura Bay,active
65,Anchorage/AK,active
66,Ancud,active
67,Andasibe,active
68,Anglesea,active
69,Angra dos Reis,active
70,Anjajavy,active
71,Anna Maria Island/FL,active
72,Antananarivo,active
73,Antigonish/NS,active
74,Antigua,active
75,Antofagasta,active
76,Antonito/CO,active
77,Anuradhapura,active
78,Apalachicola/FL,active
79,Apollo Bay,active
80,Aracena,active
81,Aragats,active
82,Arcata/CA,active
83,Arco/ID,active
84,Arequipa,active
85,Arica,active
86,Arlington/VT,active
87,Armidale,active
