id,name_en-GB,name_de-DE,name_ch-DE,name_nl-NL,country_id,state_id,region_id,location_tour32,status,cid_primarix,id_primarix
1,Abel Tasman National Park,Abel Tasman Nationalpark,Abel Tasman Nationalpark,Abel Tasman National Park,188,,1,6,active,,3362
2,Abu Dhabi,Abu Dhabi,Abu Dhabi,Abu Dhabi,82,,,8,active,,115310
3,"Abu Dhabi, Saadiyat Island","Abu Dhabi, Saadiyat Island","Abu Dhabi, Saadiyat Island","Abu Dhabi, Saadiyat Island",82,,,8,active,,
4,Acheson,Acheson,Acheson,Acheson,182,2,,,active,,
5,Adamstown,Adamstown,Adamstown,Adamstown,199,,,2705,active,,
6,,Addis Abeba,Addis Abeba,Abel Tasman National Park,2,,,,active,,121822
7,Addo Elephant Nationalpark,Addo Elephant Nationalpark,Addo Elephant Nationalpark,Addo Elephant Nationalpark,37,10,39,13,active,,
8,Adelaide,Adelaide,Adelaide,Adelaide,186,77,131,14,active,,3333
9,Adelaide River,Adelaide River,Adelaide River,Adelaide River,186,55,149,1279,active,,
10,"Adelaide, Glenelg","Adelaide, Glenelg","Adelaide, Glenelg","Adelaide, Glenelg",186,77,131,14,active,,
11,"Adelaide, North Plympton","Adelaide, North Plympton","Adelaide, North Plympton","Adelaide, North Plympton",186,77,,,active,,
12,"Adelaide, Parafield Gardens","Adelaide, Parafield Gardens","Adelaide, Parafield Gardens","Adelaide, Parafield Gardens",186,77,,,active,,
13,Adelaide-Somerton Park,Adelaide-Somerton Park,Adelaide-Somerton Park,Adelaide-Somerton Park,,77,,,active,,
14,Adelaide-Torrensville,Adelaide-Torrensville,Adelaide-Torrensville,Adelaide-Torrensville,,77,,,active,,
15,Agnes Water,Agnes Water,Agnes Water,Agnes Water,186,63,130,17,active,,
16,Aguas Calientes,Aguas Calientes,Aguas Calientes,Aguas Calientes,178,,25,19,active,,
17,Aireys,Aireys,Aireys,Aireys,186,95,43,22,active,,
18,Airlie Beach,Airlie Beach,Airlie Beach,Airlie Beach,186,63,130,23,active,,3346
19,"Airport Industrial, Cape Town","Airport Industrial, Cape Town","Airport Industrial, Cape Town","Airport Industrial, Cape Town",37,99,,,active,,
20,Aitutaki,Aitutaki,Aitutaki,Aitutaki,190,,2,25,active,,
21,Akanin’ny Nofy,Akanin’ny Nofy,Akanin’ny Nofy,Akanin’ny Nofy,22,,,28,active,,
22,Christchurch,Akaroa,Akaroa,Akaroa,188,81,19,29,active,,115255
23,Akaroa (Christchurch),Akaroa (Christchurch),Akaroa (Christchurch),Akaroa (Christchurch),188,81,19,29,active,,
24,Albany,Albany,Albany,Albany,186,98,142,38,active,,
25,Albury,Albury,Albury,Albury,186,49,128,42,active,,
26,Aleipata,Aleipata,Aleipata,Aleipata,200,92,,2510,active,,
27,Alice Springs,Alice Springs,Alice Springs,Alice Springs,186,55,119,44,active,,3336
28,"Alice Springs, Ciccone","Alice Springs, Ciccone","Alice Springs, Ciccone","Alice Springs, Ciccone",,,,,active,,
29,Alofi,Alofi,Alofi,Alofi,217,,,1686,active,,
30,"Alotau, Milne Bay Province","Alotau, Milne Bay Province","Alotau, Milne Bay Province","Alotau, Milne Bay Province",198,,,1501,active,,
31,Alpen,Alpen,Alpen,Alpen,105,,,,active,,
32,Alphonse Island,Alphonse Island,Alphonse Island,Alphonse Island,52,,,49,active,,
33,"Alva Beach, Ayr","Alva Beach, Ayr","Alva Beach, Ayr","Alva Beach, Ayr",186,63,,,active,,
34,Amakhala Game Reserve,Amakhala Game Reserve,Amakhala Game Reserve,Amakhala Game Reserve,37,10,39,55,active,,
35,Amboseli Nationalpark,Amboseli Nationalpark,Amboseli Nationalpark,Amboseli Nationalpark,17,,,57,active,,
36,Amphur Kohkood,Amphur Kohkood,Amphur Kohkood,Amphur Kohkood,79,,47,1116,active,,
37,Amuri,Amuri,Amuri,Amuri,190,1,2,25,active,,
38,,Anchorage,,,205,,,,active,,121461
39,Andasibe,Andasibe,Andasibe,Andasibe,22,,,67,active,,
40,Anglesea,Anglesea,Anglesea,Anglesea,186,95,43,,active,,
41,Anse La Raie,Anse La Raie,Anse La Raie,Anse La Raie,51,,91,1449,active,,
42,Antananarivo,Antananarivo,Antananarivo,Antananarivo,22,,,72,active,,3541
43,Aore Island,Aore Island,Aore Island,Aore Island,204,13,,626,active,,
44,Apia,Apia,Apia,Apia,200,92,,2510,active,,3507
45,Apollo Bay,Apollo Bay,Apollo Bay,Apollo Bay,186,95,43,79,active,,
46,Arequipa,Arequipa,Arequipa,Arequipa,178,,140,84,active,,3815
47,,Arica,Arica,Arica,172,,,,active,,3798
48,Arkaroola Village,Arkaroola Village,Arkaroola Village,Arkaroola Village,186,77,35,665,active,,
49,Armação de Búzios - RJ,Armação de Búzios - RJ,Armação de Búzios - RJ,Armação de Búzios - RJ,171,68,15,294,active,,
50,Arnhemland,Arnhemland,Arnhemland,Arnhemland,186,55,,,active,,
51,Aroa Beach,Aroa Beach,Aroa Beach,Aroa Beach,190,66,117,2029,active,,
52,Arorangi,Arorangi,Arorangi,Arorangi,190,66,117,2029,active,,
53,,Aruba,Aruba,,178,,,,active,,121342
54,Arue,Arue,Arue,Arue,192,83,144,2347,active,,
55,Arusha,Arusha,Arusha,Arusha,38,,,94,active,,3529
56,Asau,Asau,Asau,Asau,200,73,,2190,active,,
57,Asheville,Asheville,Asheville,Asheville,184,52,,97,active,,
58,Atherton,Atherton,Atherton,Atherton,186,63,150,106,active,,
59,Atherton Tablelands,Atherton Tablelands,Atherton Tablelands,Atherton Tablelands,186,63,150,106,active,,
60,Atiu,Atiu,Atiu,Atiu,190,,6,107,active,,
61,,Atlanta,,,184,,,,active,,121447
62,Atuona,Atuona,Atuona,Atuona,192,25,79,882,active,,
63,Auckland,Auckland,Auckland,Auckland,188,51,7,112,in review,,3345
64,Auckland (Dairy Flat),Auckland (Dairy Flat),Auckland (Dairy Flat),Auckland (Dairy Flat),188,,,,active,,
65,Auckland Airport,Auckland Airport,Auckland Airport,Auckland Airport,188,51,7,112,active,,
66,Auckland Airport (Mangere),Auckland Airport (Mangere),Auckland Airport (Mangere),Auckland Airport (Mangere),188,,,,active,,
67,"Auckland, Parnell","Auckland, Parnell","Auckland, Parnell","Auckland, Parnell",188,,,,active,,
68,"Auckland, Penrose","Auckland, Penrose","Auckland, Penrose","Auckland, Penrose",188,,,,active,,
69,"Auckland, Waiheke Island","Auckland, Waiheke Island","Auckland, Waiheke Island","Auckland, Waiheke Island",188,,,,active,,
70,Auckland-Mangere,Auckland-Mangere,Auckland-Mangere,Auckland-Mangere,188,,,,active,,
71,Aufaga,Aufaga,Aufaga,Aufaga,200,92,,2510,active,,
72,Augrabies Falls Nationalpark,Augrabies Falls Nationalpark,Augrabies Falls Nationalpark,Augrabies Falls Nationalpark,37,54,98,113,active,,
73,,Augusta,Augusta,Augusta,186,,,,active,,121850
74,Aus,Aus,Aus,Aus,28,,127,116,active,,
75,Avatoru,Avatoru,Avatoru,Avatoru,192,65,116,2026,active,,
76,Awanui,Awanui,Awanui,Awanui,188,51,99,118,active,,
77,Ayers Rock,Ayers Rock,Ayers Rock,Ayers Rock,186,,,,active,,3339
78,Ayers Rock Resort (Yulara),Ayers Rock Resort (Yulara),Ayers Rock Resort (Yulara),Ayers Rock Resort (Yulara),186,55,119,119,active,,
79,"Ayllu de Quitor, San Pedro de Atacama","Ayllu de Quitor, San Pedro de Atacama","Ayllu de Quitor, San Pedro de Atacama","Ayllu de Quitor, San Pedro de Atacama",172,,5,2150,active,,
80,,Ayr,,Ayr,186,,,,active,,115238
81,Baa Atoll,Baa Atoll,Baa Atoll,Baa Atoll,50,,,1360,active,,
82,Babanango Game Reserve,Babanango Game Reserve,Babanango Game Reserve,Babanango Game Reserve,37,,169,122,active,,
83,Bagamoyo,Bagamoyo,Bagamoyo,Bagamoyo,38,,,126,active,,
84,Bagani,Bagani,Bagani,Bagani,28,,165,560,active,,
85,Bain Boeuf,Bain Boeuf,Bain Boeuf,Bain Boeuf,51,,91,1449,active,,
86,Balaclava,Balaclava,Balaclava,Balaclava,51,,91,1449,active,,
87,Darwin,Bali,,Darwin,60,,,,active,,57742
88,Ballarat,Ballarat,Ballarat,Ballarat,186,95,134,137,active,,
89,Ballina,Ballina,Ballina,Ballina,186,49,,,active,,
90,Ballito,Ballito,Ballito,Ballito,37,33,132,139,active,,
91,Balmaceda,Balmaceda,Balmaceda,Balmaceda,172,,,,active,,3804
92,,Baltra,Baltra,Baltra,173,,,,active,,3824
93,Balule Private Nature Reserve,Balule Private Nature Reserve,Balule Private Nature Reserve,Balule Private Nature Reserve,37,35,64,143,active,,
94,,Bangalore,Bangalore,,59,,,,active,,4136
95,Bangkok,Bangkok,Bangkok,Bangkok,79,,8,149,active,,4114
96,Bantry Bay,Bantry Bay,Bantry Bay,Bantry Bay,37,,55,1033,active,,
97,,Barcelona,,,105,,,,active,,121923
98,,Bariloche,,Bariloche,169,,,,active,,84119
99,Barossa Valley,Barossa Valley,Barossa Valley,Barossa Valley,186,77,131,160,active,,122141
100,"Barossa Valley, Lyndoch","Barossa Valley, Lyndoch","Barossa Valley, Lyndoch","Barossa Valley, Lyndoch",186,77,131,160,active,,
101,"Barossa Valley, Marananga","Barossa Valley, Marananga","Barossa Valley, Marananga","Barossa Valley, Marananga",186,77,131,160,active,,
