id,name_en-GB,name_de-DE,name_ch-DE,name_nl-NL,country_id,status,cid_primarix,id_primarix
1,,Abel Tasman,Abel Tasman,Abel Tasman,216,active,,3165
2,Aitutaki,Aitutaki,Aitutaki,Aitutaki,190,in review,,3151
3,Amazon Rainforest,Amazonas Regenwald,Amazonas Regenwald,Amazon Rainforest,178;170,active,,121765
4,andes highlands,Andenhochland,Andenhochland,andes highlands,170,active,,121768
5,Atacama Desert,Atacama Wüste,Atacama Wüste,Atacama Desert,172,active,,121746
6,Atiu,Atiu,Atiu,Atiu,190,in review,,121371
7,,Auckland,Auckland,Auckland,216,active,,121374
8,Bangkok,Bangkok,Bangkok,Bangkok,79,in review,,4147
9,,Bay of Plenty,Bay Of Plenty,Bay Of Plenty,216,active,,121360
10,,Big Island,Big Island,Big Island,185,in review,,121380
11,Blue Mountains,Blue Mountains,Blue Mountains,Blue Mountains,186,active,,3204
12,—Boca Tapada,Boca Tapada,—Boca Tapada,—Boca Tapada,161,active,,121990
13,Bogota,Bogota,Bogota,Bogota,176,in review,,121787
14,Bora Bora,Bora Bora,,Bora Bora,192,in review,,22183
15,Brazil,Brasilien,Brasilien,Brazilië,171,in review,,121777
16,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,169,in review,,121755
17,—Cahuita Nationalpark,Cahuita Nationalpark,—Cahuita Nationalpark,—Cahuita Nationalpark,161,active,,121985
18,Canberra,Canberra,Canberra,Canberra,186,in review,,3203
19,,Canterbury,Canterbury,Canterbury,216,active,,121367
20,Chiang Mai / Chiang Rai,Chiang Mai / Chiang Rai,Chiang Mai / Chiang Rai,Chiang Mai / Chiang Rai,79,active,,4149
21,Chobe River,Chobe Fluss,Chobe Fluss,Chobe rivier,5,active,,3168
22,,Coromandel-Waikato,Coromandel-Waikato,Coromandel-Waikato,216,active,,121359
23,Costa Rica,Costa Rica,Costa Rica,Costa Rica,161,in review,,121983
24,Cradle Mountain Lake St Clair National Park,Cradle Mountain Lake St. Clair Nationalpark,Cradle Mountain Lake St. Clair Nationalpark,Cradle Mountain Lake St. Clair National Park,186,active,,3180
25,Cusco Sacred Valley,Cusco / Heiliges Tal,Cusco / Heiliges Tal,Cusco Sacred Valley,178,active,,121764
26,Damaraland & Kaokoveld,Damaraland & Kaokoveld,Damaraland & Kaokoveld,Damaraland & Kaokoveld,28,active,,3195
27,Drakensberg Mountains,Drakensberge,Drakensberge,Drakensbergen,37,active,,3191
28,Ecuador,Ecuador,Ecuador,Ecuador,173,in review,,121770
29,Eswatini,Eswatini,Eswatini,Eswatini,37,in review,,121798
30,Etosha National Park,Etosha Nationalpark,Etosha Nationalpark,Etosha National Park,28,active,,3201
31,Fakarava,Fakarava,,Fakarava,192,in review,,22187
32,,Feuerland,Feuerland,Vuurland,169,active,,121759
33,Fiji Islands,Fiji Inseln,Fiji Inseln,Fiji,191,in review,,3153
34,Fish River Canyon,Fish River Canyon,,Fish River Canyon,28,active,,3194
35,Flinders Ranges,Flinders Ranges,Flinders Ranges,Flinders Ranges,186,active,,3121
36,French Polynesia,Französisch Polynesien,Französisch Polynesien,Frans-Polynesië,192,in review,,22192
37,Freycinet National Park,Freycinet Nationalpark,Freycinet Nationalpark,Freycinet National Park,186,active,,3181
38,Galapagos,Galapagos,Galapagos,Galapagos,211,active,,121773
39,Garden Route & Eastern Cape,Garden Route & Eastern Cape,Garden Route & Eastern Cape,Garden Route & Eastern Cape,37,active,,3185
40,,Gisborne,Gisborne,Gisborne,216,active,,121362
41,Grampians,Grampians,Grampians,Grampians,186,active,,3118
42,Great Barrier Reef Islands,Great Barrier Reef Inseln,Great Barrier Reef Inseln,Great Barrier Reef Islands,186,active,,3161
43,Great Ocean Road,Great Ocean Road,Great Ocean Road,Great Ocean Road,186,active,,3119
44,Guayaquil,Guayaquil,Guayaquil,Guayaquil,173,in review,,121772
45,,Hawkes Bay,Hawkes Bay,Hawkes Bay,216,active,,3164
46,Hoi An / Quy Nhon / Danang,Hoi An / Quy Nhon / Danang,Hoi An / Quy Nhon / Danang,Hoi An / Quy Nhon / Danang,83,active,,4157
47,Hua Hin / Koh Chang / Koh Samet,Hua Hin / Koh Chang / Koh Samet,Hua Hin / Koh Chang / Koh Samet,Hua Hin / Koh Chang / Koh Samet,79,active,,4154
48,Huahine,Huahine,,Huahine,192,in review,,22182
49,Hwange Nationalpark,Hwange Nationalpark,Hwange Nationalpark,Hwange National Park,46,active,,101903
50,Iguacu,Iguacu,Iguacu,Iguacu,171,active,,121783
51,Inland,Inland,Inland,Binnenland,160,active,,122063
52,Kalahari,Kalahari,Kalahari,Kalahari,28;5,active,,3172;3193
53,Kangaroo Island,Kangaroo Island,Kangaroo Island,Kangaroo Island,186,in review,,3122
54,Kaoh Lak / Koh Phi Phi / Koh Yao Noi,Kaoh Lak / Koh Phi Phi / Koh Yao Noi,Kaoh Lak / Koh Phi Phi / Koh Yao Noi,Kaoh Lak / Koh Phi Phi / Koh Yao Noi,79,active,,4152
55,Cape Peninsula,Kaphalbinsel,Kaphalbinsel,Kaaps Schiereiland,37,active,,121856
