source_value,match_type,target_value,target_level_or_proposal,action,note
Abel Tasman National Park,spelling,Abel Tasman Nationalpark,,remap_to_target,Schreibvariante -> kanonisch
Auckland,reclassify,,region (= Auckland),move_level,kein Place: region (= Auckland)
"Auckland Airport, Mangere",spelling,Auckland Airport (Mangere),,remap_to_target,Schreibvariante -> kanonisch
"Auckland, Mangere",spelling,Auckland-Mangere,,remap_to_target,Schreibvariante -> kanonisch
Boca Tapada,reclassify,,region (= Boca Tapada),move_level,kein Place: region (= Boca Tapada)
"Burnside, Christchurch",spelling,Burnside (Christchurch),,remap_to_target,Schreibvariante -> kanonisch
"Cairns, Portsmith",spelling,Cairns-Portsmith,,remap_to_target,Schreibvariante -> kanonisch
Darwin-Winnellie,spelling,"Darwin, Winnellie",,remap_to_target,Schreibvariante -> kanonisch
Deutschland,reclassify,,country (= Deutschland),move_level,kein Place: country (= Deutschland)
Drakensberge,reclassify,,region (= Drakensberge),move_level,kein Place: region (= Drakensberge)
Erongo,reclassify,,state (= Erongo) – ggf. auch gleichnamige Stadt,move_level,kein Place: state (= Erongo) – ggf. auch gleichnamige Stadt
Etosha Nationalpark,reclassify,,region (= Etosha Nationalpark),move_level,kein Place: region (= Etosha Nationalpark)
Fish River Canyon,reclassify,,region (= Fish River Canyon),move_level,kein Place: region (= Fish River Canyon)
Galapagos,reclassify,,region (= Galapagos),move_level,kein Place: region (= Galapagos)
Gisborne,reclassify,,region (= Gisborne),move_level,kein Place: region (= Gisborne)
Hawkes Bay,reclassify,,region (= Hawkes Bay),move_level,kein Place: region (= Hawkes Bay)
Haapai,spelling,Ha’apai,,remap_to_target,Schreibvariante -> kanonisch
"Hobart, Cambridge",spelling,Hobart-Cambridge,,remap_to_target,Schreibvariante -> kanonisch
"Hong Kong, Kowloon",spelling,Hong Kong (Kowloon),,remap_to_target,Schreibvariante -> kanonisch
Hongkong (Kowloon),spelling,Hong Kong (Kowloon),,remap_to_target,Schreibvariante -> kanonisch
"Hongkong, Kowloon",spelling,Hong Kong (Kowloon),,remap_to_target,Schreibvariante -> kanonisch
Hong Kong,spelling,Hongkong,,remap_to_target,Schreibvariante -> kanonisch
Hongkong,reclassify,,"country (= Hongkong) – Stadtstaat, ggf. auch place",move_level,"kein Place: country (= Hongkong) – Stadtstaat, ggf. auch place"
Hwange Nationalpark,reclassify,,region (= Hwange Nationalpark),move_level,kein Place: region (= Hwange Nationalpark)
Kewdale (Perth),spelling,"Kewdale, Perth",,remap_to_target,Schreibvariante -> kanonisch
Khwai,reclassify,,region (= Khwai),move_level,kein Place: region (= Khwai)
"Kimbe, Cannonvale",spelling,Kimbe Cannonvale,,remap_to_target,Schreibvariante -> kanonisch
Kimberleys,reclassify,,region (= Kimberleys),move_level,kein Place: region (= Kimberleys)
Koh Samui,reclassify,,region (= Koh Samui),move_level,kein Place: region (= Koh Samui)
La Réunion,reclassify,,country (= La Réunion),move_level,kein Place: country (= La Réunion)
Linyanti,reclassify,,region (= Linyanti),move_level,kein Place: region (= Linyanti)
Lower Zambezi Nationalpark,reclassify,,region (= Lower Zambezi Nationalpark),move_level,kein Place: region (= Lower Zambezi Nationalpark)
