source_value,match_type,target_value,target_level_or_proposal,action,note
Aitutaki,reclassify,,place/Insel – parent Cookinseln,move_level,keine Region: place/Insel – parent Cookinseln
Atiu,reclassify,,place/Insel – parent Cookinseln,move_level,keine Region: place/Insel – parent Cookinseln
Bangkok,reclassify,,place (Stadt) – parent Thailand,move_level,keine Region: place (Stadt) – parent Thailand
Big Island,reclassify,,place/Insel – parent USA (Hawaii),move_level,keine Region: place/Insel – parent USA (Hawaii)
—Boca Tapada,spelling,Boca Tapada,,remap_to_target,Schreibvariante -> kanonisch
Bogota,reclassify,,place (Stadt) – parent Kolumbien,move_level,keine Region: place (Stadt) – parent Kolumbien
Bora Bora,reclassify,,place/Insel – parent Französisch-Polynesien,move_level,keine Region: place/Insel – parent Französisch-Polynesien
Brasilien,reclassify,,country,move_level,keine Region: country
Buenos Aires,reclassify,,place (Stadt) – parent Argentinien,move_level,keine Region: place (Stadt) – parent Argentinien
—Cahuita Nationalpark,spelling,Cahuita Nationalpark,,remap_to_target,Schreibvariante -> kanonisch
Canberra,reclassify,,place (Stadt) – parent Australien (ACT),move_level,keine Region: place (Stadt) – parent Australien (ACT)
Costa Rica,reclassify,,country,move_level,keine Region: country
Ecuador,reclassify,,country,move_level,keine Region: country
Eswatini,reclassify,,country,move_level,keine Region: country
Fakarava,reclassify,,place/Insel – parent Französisch-Polynesien,move_level,keine Region: place/Insel – parent Französisch-Polynesien
Fiji Inseln,reclassify,,country (= Fidschi),move_level,keine Region: country (= Fidschi)
Französisch Polynesien,reclassify,,country/Territorium,move_level,keine Region: country/Territorium
Guayaquil,reclassify,,place (Stadt) – parent Ecuador,move_level,keine Region: place (Stadt) – parent Ecuador
Huahine,reclassify,,place/Insel – parent Französisch-Polynesien,move_level,keine Region: place/Insel – parent Französisch-Polynesien
Kangaroo Island,reclassify,,place/Insel – parent Australien (SA),move_level,keine Region: place/Insel – parent Australien (SA)
Kauai,reclassify,,place/Insel – parent USA (Hawaii),move_level,keine Region: place/Insel – parent USA (Hawaii)
Kolumbien,reclassify,,country,move_level,keine Region: country
Kuba,reclassify,,country,move_level,keine Region: country
La Paz,reclassify,,place (Stadt) – parent Bolivien,move_level,keine Region: place (Stadt) – parent Bolivien
Lanai,reclassify,,place/Insel – parent USA (Hawaii),move_level,keine Region: place/Insel – parent USA (Hawaii)
Lord Howe Island,reclassify,,place/Insel – parent Australien,move_level,keine Region: place/Insel – parent Australien
Malaysia,reclassify,,country,move_level,keine Region: country
Mangaia,reclassify,,place/Insel – parent Cookinseln,move_level,keine Region: place/Insel – parent Cookinseln
Maui,reclassify,,place/Insel – parent USA (Hawaii),move_level,keine Region: place/Insel – parent USA (Hawaii)
Medellin,reclassify,,place (Stadt) – parent Kolumbien,move_level,keine Region: place (Stadt) – parent Kolumbien
Mexiko City,reclassify,,place (Stadt) – parent Mexiko,move_level,keine Region: place (Stadt) – parent Mexiko
